iter	stage	score	model	harness
0	anchor	76	/fsx/home/jixuan.chen/harnessx-backup/outputs/sft/qwen35_9b_tmax_only500_on102_v2	/fsx/home/jixuan.chen/harnessx-backup/configs/baseline_tmax_harness.yaml
1	B_harness	78	/fsx/home/jixuan.chen/harnessx-backup/outputs/sft/qwen35_9b_tmax_only500_on102_v2	/fsx/home/jixuan.chen/harnessx-backup/recipe/tb2_evolver/runs/tmax-coev-rep14-i1/R0/config.yaml
1	end	80	/fsx/home/jixuan.chen/harnessx-backup/outputs/sft/tmax_coev_rep14_i1	/fsx/home/jixuan.chen/harnessx-backup/recipe/tb2_evolver/runs/tmax-coev-rep14-i1/R0/config.yaml
